author,rating,title,content,date,source,app
Hoska74,4,Kuwait,Please add the Arabic language in the application🙏,2025-10-12T01:43:24-07:00,Shopify,Shopify
Prince Yaya777,5,ENJOYING IT,Enjoying Shopify so much! I thought it was so complicated to make a store and I can make sales directly from my phone that is AMAZING. THANK YOU GUYS WERE JUST GETTING STARTED. Hoping to be as big as Kylie’s cosmetics one day. If you like coffee go order my new brand “Prince yaya coffee” and go stream my music on all platforms “Prince Yaya”,2025-10-11T11:05:18-07:00,Shopify,Shopify
Charlie Dreger,5,Amazing,"Honestly I put off starting a business for a while, then I caved, best decision ever.",2025-10-09T17:18:33-07:00,Shopify,Shopify
MaxWoodstock,1,Delete my account now,Refund my money now,2025-10-09T12:43:21-07:00,Shopify,Shopify
Mr Anonned,5,Talk goated,Keep up the great work,2025-10-09T00:52:26-07:00,Shopify,Shopify
Aludanick,5,Jantien from customer service is amazing!,What took Shopify over six months of back and forth with little to no contact . I finally got jantien and they got it done same day 10/10,2025-10-06T05:52:46-07:00,Shopify,Shopify
Fat Fatrick,1,"The AI will lie to you, Glitchy site","I wasted so many hours on this website only to find out multiple times that the AI was lying about the exact thing it told me it could handle. On top of that, the website itself glitches, so then the AI tells me I should be able to find features on product pages only to eventually find out that wasn’t true either. Square is so much better. This website is evil",2025-09-30T19:54:48-07:00,Shopify,Shopify
Don’t Yu use this app,1,Account ON HOLD,My account has been on hold for over three weeks. It has been seven days since I had this issue escalated. I need to speak with a manager or someone higher up. I did not receive any emails or any tickets concerning this issue. No one has reached out to me. I need access to my account fully. I don’t see why my account is on hold. Nothing has changed since the first day that I opened the account. No one is trying to help me and they act like they do not have managers or anyone higher than the first line of contact.,2025-09-30T08:14:12-07:00,Shopify,Shopify
Pennies not made,1,Unhappy,Haven’t made a penny but get double charged to have the app. Feel like I been scammed and can’t afford to keep paying for something that isn’t paying me.,2025-09-28T05:15:54-07:00,Shopify,Shopify
bloodhoney____,1,Terrible,Every update just gets worse and worse!! ZERO ABSOLUTELY ZERO customer service or support which is terrible bc their entire system is flawed!! I already built my website on this so I can’t go back but if you’re just starting out stay away,2025-09-25T11:56:37-07:00,Shopify,Shopify
bob stubs 🏒,1,Subscription,"Does not alert about subscription payments, over priced, terrible. Give me my money back!",2025-09-25T09:01:40-07:00,Shopify,Shopify
234483,1,1 star,I canceled my subscription and it’s still trying to charge me 40 dollars a month I was hoping to use Shopify in the future in my endeavors but this kind of changed my view and mind on Shopify 1 star,2025-09-24T23:12:38-07:00,Shopify,Shopify
Huzaifa N,5,Great opportunity for new sellers,So easy to integrate with multiple buying sites. 10/10,2025-09-24T17:47:42-07:00,Shopify,Shopify
Oneandonly12321,2,Metrics refreshing issues,Apparently being a Plus user has zero impact on things working correctly. Analytics don’t update in realtime as we told they do and live view is a joke. Have to exit out of the app and come back in for it to update.,2025-09-22T15:10:27-07:00,Shopify,Shopify
packcrew,1,New logo is trash,Change it back,2025-09-22T11:00:33-07:00,Shopify,Shopify
Marcus Verus,1,Doesn’t work on iOS 26 / iPhone 17,Was working fine until I upgraded my phone. Says captcha couldn’t load as well as couldn’t verify that your request originated from shopify,2025-09-21T19:47:26-07:00,Shopify,Shopify
JJZ@,1,No funciona,"Esta app le genera a uno descuento en la tarjeta sin haber activado el servicio , no recibí los 3 día gratis",2025-09-20T06:37:24-07:00,Shopify,Shopify
Pp I mayor,1,Just no,1300 dollars to have a subscription and it charges my mom 100 for the basic subscription  when I didn’t put in any card info and can’t get are money back and it said if would be 1 dollar for 3 months,2025-09-19T06:05:52-07:00,Shopify,Shopify
MNBvPB82,1,Me robaron,Solo me robó como 50 dólares según para sacar más provecho de la aplicación pero era mentira,2025-09-18T22:16:50-07:00,Shopify,Shopify
